AnnoA;AteneoCOD;AteneoNOME;Isc_M;Isc_F
2016/2017;Perugia;05401;9919;13029
2016/2017;Perugia Stranieri;05403;330;551
2016/2017;Piemonte Orientale;00201;4591;7152
2016/2017;Pisa;05001;21975;23239
2016/2017;Reggio Calabria;08001;2904;2943
2016/2017;Reggio Calabria - Dante Alighieri;08003;158;795
2016/2017;Roma - Link Campus;05817;1238;550
2016/2017;Roma  Mercatorum;05814;505;221
2016/2017;Roma Biomedico;05808;678;1005
2016/2017;Roma Europea;05812;314;526
2016/2017;Roma Foro Italico;05806;1611;582
2016/2017;Roma La Sapienza;05801;42921;57565
2016/2017;Roma LUISS;05805;4685;3984
2016/2017;Roma LUMSA;05803;1767;3849
2016/2017;Roma Marconi;05810;5121;4317
2016/2017;Roma San Raffaele;05816;1743;1311
2016/2017;Roma Tor Vergata;05802;14419;15119
2016/2017;Roma Tre;05807;13344;19071
2016/2017;Roma UNICUSANO;05815;12384;8223
2016/2017;Roma UNINETTUNO;05813;6454;4066
2016/2017;Roma UNINT;05809;324;1028
2016/2017;Roma UNITELMA;05811;817;676
2016/2017;Rozzano (MI) Humanitas University;01510;209;312
2016/2017;Salento;07501;6125;10455
2016/2017;Salerno;06501;14932;20427
2016/2017;Sannio;06201;2497;2671
2016/2017;Sassari;09001;4717;8164
2016/2017;Siena;05201;6509;8954
2016/2017;Siena Stranieri;05202;349;1534
2016/2017;Teramo;06701;2566;3537
2016/2017;Torino;00101;26606;41807
2016/2017;Torino Politecnico;00102;22264;8742
2016/2017;Torrevecchia Teatina - Leonardo da Vinci;06902;68;85
2016/2017;Trento;02201;8015;8139
2016/2017;Trieste;03201;6574;8259
2016/2017;Tuscia;05601;4104;3904
2016/2017;Udine;03001;7263;7763
2016/2017;Urbino Carlo Bo;04101;5364;8562
2016/2017;Venezia Cà Foscari;02701;6970;12849
2016/2017;Venezia Iuav;02702;1985;2154
2016/2017;Verona;02301;8336;14775
2015/2016;Aosta;00701;314;804
2015/2016;Bari;07201;17305;29163
2015/2016;Bari Politecnico;07202;6741;3052
2015/2016;Basilicata;07601;2971;3953
2015/2016;Benevento - Giustino Fortunato;06202;465;280
2015/2016;Bergamo;01601;5802;9836
2015/2016;Bologna;03701;34549;43257
2015/2016;Bolzano;02101;956;2072
2015/2016;Bra - Scienze Gastronomiche;00401;155;167
2015/2016;Brescia;01701;7460;6507
2015/2016;Cagliari;09201;10653;15580
2015/2016;Calabria;07801;11141;16034
2015/2016;Camerino;04302;3124;3343
2015/2016;Casamassima - LUM;07203;773;464
2015/2016;Cassino;06001;3555;4270
2015/2016;Castellanza LIUC;01201;1259;692
2015/2016;Catania;08701;18254;26883
2015/2016;Catanzaro;07901;4149;6158
2015/2016;Chieti e Pescara;06901;9237;16520
2015/2016;Enna - KORE;08601;2226;3563
2015/2016;Ferrara;03801;7062;8456
2015/2016;Firenze;04801;20648;29630
2015/2016;Firenze IUL;04804;18;91
2015/2016;Foggia;07101;3522;5747
2015/2016;Genova;01001;14187;17179
2015/2016;Insubria;01202;3998;4878
2015/2016;L'Aquila;06601;7739;10387
2015/2016;Macerata;04301;2852;7129
2015/2016;Marche;04201;8554;7068
2015/2016;Messina;08301;8762;14915
2015/2016;Milano;01501;24899;35501
2015/2016;Milano Bicocca;01509;12393;19693
2015/2016;Milano Bocconi;01503;6960;6285
2015/2016;Milano Cattolica;01504;13097;23393
2015/2016;Milano IULM;01505;1351;3313
2015/2016;Milano Politecnico;01502;27370;13412
2015/2016;Milano San Raffaele;01508;950;1375
2015/2016;Modena e Reggio Emilia;03601;9809;11014
2015/2016;Molise;07001;2858;4095
2015/2016;Napoli Benincasa;06304;1159;6952
2015/2016;Napoli Federico II;06301;34570;43388
2015/2016;Napoli II;06306;10839;15089
2015/2016;Napoli L'Orientale;06303;2368;8312
2015/2016;Napoli Parthenope;06302;7690;6122
2015/2016;Napoli Pegaso;06307;8299;4960
2015/2016;Novedrate e-Campus;01301;4013;3850
2015/2016;Padova;02801;26930;31559
2015/2016;Palermo;08201;16561;23618
2015/2016;Parma;03401;10150;12911
2015/2016;Pavia;01801;9375;11697
2015/2016;Perugia;05401;9495;12033
2015/2016;Perugia Stranieri;05403;365;527
2015/2016;Piemonte Orientale;00201;4208;6559
2015/2016;Pisa;05001;21831;23211
2015/2016;Reggio Calabria;08001;3100;3167
2015/2016;Reggio Calabria - Dante Alighieri;08003;161;801
2015/2016;Roma - Link Campus;05817;1200;549
2015/2016;Roma  Mercatorum;05814;171;112
2015/2016;Roma Biomedico;05808;665;1015
2015/2016;Roma Europea;05812;300;461
2015/2016;Roma Foro Italico;05806;1612;617
2015/2016;Roma La Sapienza;05801;42362;57496
2015/2016;Roma LUISS;05805;4256;3860
2015/2016;Roma LUMSA;05803;1817;4066
2015/2016;Roma Marconi;05810;5400;4129
2015/2016;Roma San Raffaele;05816;1207;836
2015/2016;Roma Tor Vergata;05802;14453;15216
2015/2016;Roma Tre;05807;13802;20140
2015/2016;Roma UNICUSANO;05815;10365;6897
2015/2016;Roma UNINETTUNO;05813;6076;3744
2015/2016;Roma UNINT;05809;347;1057
2015/2016;Roma UNITELMA;05811;813;676
2015/2016;Rozzano (MI) Humanitas University;01510;130;214
2015/2016;Salento;07501;6291;10690
2015/2016;Salerno;06501;14291;20691
2015/2016;Sannio;06201;2678;2812
2015/2016;Sassari;09001;4567;7891
2015/2016;Siena;05201;6508;8957
2015/2016;Siena Stranieri;05202;318;1316
2015/2016;Teramo;06701;2577;3619
2015/2016;Torino;00101;25622;40719
2015/2016;Torino Politecnico;00102;21811;8689
2015/2016;Torrevecchia Teatina - Leonardo da Vinci;06902;55;80
2015/2016;Trento;02201;7968;8266
2015/2016;Trieste;03201;6577;8486
2015/2016;Tuscia;05601;3969;3863
2015/2016;Udine;03001;7207;7665
2015/2016;Urbino Carlo Bo;04101;5374;8482
2015/2016;Venezia Cà Foscari;02701;6955;12813
2015/2016;Venezia Iuav;02702;2079;2181
2015/2016;Verona;02301;8084;14593
2014/2015;Aosta;00701;316;836
2014/2015;Bari;07201;17820;30701
2014/2015;Bari Politecnico;07202;7024;3269
2014/2015;Basilicata;07601;3019;4195
2014/2015;Benevento - Giustino Fortunato;06202;385;241
2014/2015;Bergamo;01601;5537;9323
2014/2015;Bologna;03701;33877;43044
2014/2015;Bolzano;02101;899;1859
2014/2015;Bra - Scienze Gastronomiche;00401;131;164
2014/2015;Brescia;01701;7494;6651
2014/2015;Cagliari;09201;10689;15973
2014/2015;Calabria;07801;11712;16915
2014/2015;Camerino;04302;3237;3446
2014/2015;Casamassima - LUM;07203;750;497
2014/2015;Cassino;06001;3682;4507
2014/2015;Castellanza LIUC;01201;1143;674
2014/2015;Catania;08701;18557;28208
2014/2015;Catanzaro;07901;4199;6546
2014/2015;Chieti e Pescara;06901;9709;17651
2014/2015;Enna - KORE;08601;2357;3601
2014/2015;Ferrara;03801;7032;8618
2014/2015;Firenze;04801;20987;30156
2014/2015;Firenze IUL;04804;5;35
2014/2015;Foggia;07101;3470;6055
2014/2015;Genova;01001;14465;17776
2014/2015;Insubria;01202;3895;4971
2014/2015;L'Aquila;06601;9106;12130
2014/2015;Macerata;04301;2813;6916
2014/2015;Marche;04201;8615;7114
2014/2015;Messina;08301;9262;16269
2014/2015;Milano;01501;25082;35596
2014/2015;Milano Bicocca;01509;12329;19824
2014/2015;Milano Bocconi;01503;6880;6449
2014/2015;Milano Cattolica;01504;13023;23401
2014/2015;Milano IULM;01505;1269;3049
2014/2015;Milano Politecnico;01502;26744;13335
2014/2015;Milano San Raffaele;01508;866;1259
2014/2015;Modena e Reggio Emilia;03601;9120;10576
2014/2015;Molise;07001;2884;4136
2014/2015;Napoli Benincasa;06304;1161;6821
2014/2015;Napoli Federico II;06301;35362;45269
2014/2015;Napoli II;06306;10918;15421
2014/2015;Napoli L'Orientale;06303;2347;8110
2014/2015;Napoli Parthenope;06302;8127;6519
2014/2015;Napoli Pegaso;06307;6936;3869
2014/2015;Novedrate e-Campus;01301;3977;3687
2014/2015;Padova;02801;26719;31740
2014/2015;Palermo;08201;17419;25039
2014/2015;Parma;03401;10154;13205
2014/2015;Pavia;01801;9459;11812
2014/2015;Perugia;05401;9749;12586
2014/2015;Perugia Stranieri;05403;359;630
2014/2015;Piemonte Orientale;00201;4067;6332
2014/2015;Pisa;05001;22026;23314
2014/2015;Reggio Calabria;08001;3371;3437
2014/2015;Reggio Calabria - Dante Alighieri;08003;156;748
2014/2015;Roma - Link Campus;05817;929;484
2014/2015;Roma  Mercatorum;05814;161;103
2014/2015;Roma Biomedico;05808;659;982
2014/2015;Roma Europea;05812;311;495
2014/2015;Roma Foro Italico;05806;1556;650
2014/2015;Roma La Sapienza;05801;43104;59390
2014/2015;Roma LUISS;05805;3914;3790
2014/2015;Roma LUMSA;05803;1903;3984
2014/2015;Roma Marconi;05810;5005;3477
2014/2015;Roma San Raffaele;05816;858;532
2014/2015;Roma Tor Vergata;05802;14803;15484
